Open time,Open,High,Low,Close,Volume
10/1/2017,4378.49,4406.52,4240.04,4378.48,726.963685
10/2/2017,4400,4561.63,4360,4380,655.756974
10/3/2017,4380,4467.33,4180.8,4310,1082.323563
10/4/2017,4314.9,4373,4142,4208.59,868.465101
10/5/2017,4208.59,4355,4110,4292.43,779.138638
10/6/2017,4318.99,4417,4292,4369,506.529176
10/7/2017,4369,4479.5,4312.56,4423,297.5975
10/8/2017,4425,4658,4425,4640,518.462004
10/9/2017,4640,4889.98,4550,4786.95,646.463145
10/10/2017,4786.95,4960,4680.59,4783.06,1043.221773
10/11/2017,4783.06,4881.61,4710,4821.43,753.429396
10/12/2017,4821.43,5439.99,4810.16,5430,1276.701482
10/13/2017,5439.99,5846.17,5379.84,5649.98,1879.82762
10/14/2017,5650,5900,5580.01,5869.99,970.759046
10/15/2017,5855.03,5922.3,5400.01,5709.99,1343.523375
10/16/2017,5710,5788.91,5585.19,5760.02,1528.996462
10/17/2017,5760,5774.98,5508.63,5595,1429.869376
10/18/2017,5595,5596,5037.95,5512.06,2317.804373
10/19/2017,5513,5710,5490.26,5683.9,1881.722107
10/20/2017,5683.31,6110,5600,6010.01,1972.97722
10/21/2017,6013.72,6171,5850.03,6024.97,1664.307693
10/22/2017,6003.27,6060,5720.03,5950.02,1362.092216
10/23/2017,5975,6080,5621.03,5915.93,1812.557715
10/24/2017,5909.47,5925,5450,5477.03,2580.418767
10/25/2017,5506.92,5704.96,5286.98,5689.99,2282.813205
10/26/2017,5670.1,5939.99,5650,5861.77,1972.965882
10/27/2017,5861.77,5980,5649.24,5768.83,1403.706416
10/28/2017,5768.79,5850.02,5630.03,5719.64,1276.754412
10/29/2017,5709.98,6189.88,5648.01,6169.98,1804.778173
10/30/2017,6133.01,6248.68,6030,6120.5,1473.687043
10/31/2017,6120.52,6498.01,6100,6463,1511.774925
11/1/2017,6463,6774.67,6338.02,6753.98,1675.615188
11/2/2017,6753.98,7300,6685.1,7019.98,2503.610803
11/3/2017,7010.31,7346.34,6923,7115.04,1891.497592
11/4/2017,7115.02,7480.99,6901,7357.09,1399.191767
11/5/2017,7357.27,7590.25,7279.02,7345.01,1207.83233
11/6/2017,7345.1,7401,6906,6960.12,1763.019261
11/7/2017,6981.72,7198.49,6901,7064.04,1440.259494
11/8/2017,7070,7770.02,6651,7303,2822.298802
11/9/2017,7303.01,7392,7015,7079.99,1913.398308
11/10/2017,7079,7279.91,6255.01,6506.98,3254.704105
11/11/2017,6503,6797.98,6100,6245.05,2754.156861
11/12/2017,6245.05,6630,5325.01,5811.03,4968.483069
11/13/2017,5839.94,6697.47,5699.99,6465.99,2621.243039
11/14/2017,6465.99,6684.98,6311.07,6574.99,1254.292531
11/15/2017,6575.99,7298,6575.99,7240.06,1779.605845
11/16/2017,7240.14,7940,7076,7864.5,2331.95675
11/17/2017,7876.98,7989,7451,7699.19,3982.395925
11/18/2017,7680.01,7819.99,7422,7761.94,3954.266477
11/19/2017,7761.94,8123.15,7650.33,8038,3867.340444
11/20/2017,8057.11,8319.99,7954,8212,3886.634348
11/21/2017,8212.49,8400,7801,8119.51,4544.474016
11/22/2017,8091.09,8322.68,8091.09,8205.92,3545.00571
11/23/2017,8233.03,8260,8000,8019.99,4093.952687
11/24/2017,8019.97,8369,7850,8138,4411.789112
11/25/2017,8138.99,8734.78,8090,8700.01,4292.623682
11/26/2017,8700.04,9350,8604.72,9128.02,4147.380237
11/27/2017,9128,9654.28,9112.04,9650,4521.625707
11/28/2017,9650,9939,9570.5,9896.8,4917.210985
11/29/2017,9896.79,11300.03,8520,9687.88,13352.53872
11/30/2017,9687.88,10900,8850.8,9838.96,9389.574329
12/1/2017,9837,10898,9380,10782.99,6134.923633
12/2/2017,10775.04,11190,10620,10890.01,4765.439757
12/3/2017,10902.69,11825,10500,11165.41,5346.636524
12/4/2017,11165.41,11600,10802,11579,4663.424562
12/5/2017,11571.03,11853,11447.68,11699.99,5550.732055
12/6/2017,11699.99,13615.23,11665.58,13550.05,6707.946319
12/7/2017,13541.01,16649.96,13050,16599,7487.065695
12/8/2017,16599,17204.99,14015,15880,17589.01314
12/9/2017,15880.01,16269.3,12535,14656.07,13918.75869
12/10/2017,14664.01,15720.12,12368,14899.98,16553.03717
12/11/2017,14946.26,17470,14901.08,16587.97,11820.40176
12/12/2017,16587.97,16976.45,15875,16349.99,9436.802411
12/13/2017,16349.99,16546,14666.56,16033.29,12416.3288
12/14/2017,16030.34,16445,15450,16334.98,11616.86715
12/15/2017,16334.98,17991,16298.45,17539.83,9181.273947
12/16/2017,17516.81,19539,17190.01,19102.66,4202.628709
12/17/2017,19120.19,19798.68,18510,18860.02,9177.183434
12/18/2017,18860.04,19300,17029.98,18856.25,10624.63307
12/19/2017,18856.25,18950,16300,17295.2,13210.74822
12/20/2017,17295.2,17720.35,14777.66,16488.98,13450.49669
12/21/2017,16480.52,17309.5,14022,15492.64,20324.2173
12/22/2017,15514.03,15699.34,10961,13326.61,36076.27118
12/23/2017,13326.61,14950,12978.18,13300,13141.53888
12/24/2017,13300,13819.99,11640,13500,28557.53499
12/25/2017,13500,14300,12708,13699.34,15748.20761
12/26/2017,13699.34,16050,13533,15689.01,15034.6681
12/27/2017,15709.98,16498.05,14200.15,15459.99,14959.86472
12/28/2017,15459.97,15539.99,13150,14182.11,21717.85801
12/29/2017,14199.14,14981,13850,14378.9,18072.00812
12/30/2017,14378.99,14398.85,11750,12440.01,19221.15804
12/31/2017,12345.1,14050.11,12149.98,13716.36,11768.98972
1/1/2018,13715.65,13818.55,12750,13380,8609.915844
1/2/2018,13382.16,15473.49,12890.02,14675.11,20078.09211
1/3/2018,14690,15307.56,14150,14919.51,15905.66764
1/4/2018,14919.51,15280,13918.04,15059.54,21329.64957
1/5/2018,15059.56,17176.24,14600,16960.39,23251.49113
1/6/2018,16960.39,17143.13,16011.21,17069.79,18571.45751
1/7/2018,17069.79,17099.96,15610,16150.03,12493.12556
1/8/2018,16218.85,16322.3,12812,14902.54,26600.60991
1/9/2018,14902.54,15500,14011.05,14400,14315.00425
1/10/2018,14401,14955.66,13131.31,14907.09,17411.00166
1/11/2018,14940,14968.68,11400,13238.78,33554.72375
1/12/2018,13238.76,14109.78,12500,13740.01,16417.16214
1/13/2018,13749.95,14580,13706.15,14210,12221.50853
1/14/2018,14210,14339.5,12569.2,13474.99,17017.89433
1/15/2018,13477.98,14249.99,13147.79,13539.93,14652.09471
1/16/2018,13500,13542.93,9035,10900,63401.16918
1/17/2018,10899.99,11680.99,9037.94,10988.79,72331.79665
1/18/2018,10972.59,11878.82,10435.33,10961.97,48464.43494
1/19/2018,10960,11795,10360,11474.98,34129.37542
1/20/2018,11474.98,13099,11412.45,12799.94,28768.85783
1/21/2018,12799.8,12799.8,10965,11530,41379.77343
1/22/2018,11530,11926.35,9900.24,10760.05,43752.60679
1/23/2018,10760.05,11399,9905,10799.18,37473.92255
1/24/2018,10799.14,11570.48,10500,11349.99,27158.58776
