Open time,Open,High,Low,Close,Volume,Close time,Quote asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,ignore
2018-10-07 23:01:00,6591.00000000,6591.05000000,6590.01000000,6590.01000000,1.34872600,1538953319999,8888.26299134,19,0.14936900,984.48836777,0
2018-10-07 23:02:00,6591.05000000,6591.86000000,6590.00000000,6590.00000000,5.09793800,1538953379999,33600.61550829,26,3.00389500,19800.87048040,0
2018-10-07 23:03:00,6590.00000000,6593.02000000,6588.85000000,6588.86000000,14.47968600,1538953439999,95435.30237201,106,8.98980500,59260.13407626,0
2018-10-07 23:04:00,6588.86000000,6593.01000000,6582.97000000,6588.63000000,19.79413600,1538953499999,130406.00208432,70,0.47667200,3140.68119757,0
2018-10-07 23:05:00,6588.63000000,6588.82000000,6584.03000000,6584.31000000,11.86761400,1538953559999,78146.92817404,48,1.87979700,12383.73716659,0
2018-10-07 23:06:00,6588.73000000,6588.73000000,6584.32000000,6585.00000000,4.10040700,1538953619999,27001.60965510,34,0.92446200,6090.16700376,0
2018-10-07 23:07:00,6585.00000000,6585.80000000,6581.79000000,6585.65000000,1.25554900,1538953679999,8265.77638742,28,0.39894600,2627.25495172,0
2018-10-07 23:08:00,6585.00000000,6586.00000000,6582.92000000,6583.00000000,5.55934100,1538953739999,36608.60044365,47,3.98809900,26262.80293241,0
2018-10-07 23:09:00,6584.20000000,6584.20000000,6583.00000000,6584.20000000,0.39131200,1538953799999,2576.13734839,16,0.10694100,704.12093220,0
2018-10-07 23:10:00,6584.20000000,6584.20000000,6583.00000000,6583.00000000,1.04290200,1538953859999,6866.05758773,30,0.52808100,3476.99092020,0
2018-10-07 23:11:00,6584.20000000,6588.30000000,6582.93000000,6588.29000000,1.97164900,1538953919999,12981.54355438,46,1.21409600,7994.57448806,0
2018-10-07 23:12:00,6588.30000000,6588.30000000,6583.93000000,6583.99000000,2.03586800,1538953979999,13404.38621001,23,0.48968600,3224.10162500,0
2018-10-07 23:13:00,6583.99000000,6587.91000000,6583.93000000,6584.00000000,4.40417200,1538954039999,28997.06864978,40,0.00155500,10.24417859,0
2018-10-07 23:14:00,6587.25000000,6587.42000000,6584.00000000,6587.41000000,1.29590600,1538954099999,8535.54971637,18,1.01014900,6654.12432282,0
2018-10-07 23:15:00,6587.41000000,6587.42000000,6584.04000000,6584.24000000,0.30086300,1538954159999,1981.32405959,14,0.09816100,646.62760909,0
2018-10-07 23:16:00,6584.24000000,6587.28000000,6584.24000000,6584.27000000,0.81951900,1538954219999,5396.45170094,16,0.17959100,1182.99634239,0
2018-10-07 23:17:00,6584.27000000,6586.67000000,6584.14000000,6586.52000000,3.25664900,1538954279999,21443.06556045,19,0.19622900,1292.47450213,0
2018-10-07 23:18:00,6586.53000000,6586.53000000,6584.00000000,6586.49000000,2.54418200,1538954339999,16752.52365694,39,0.60358800,3975.50526089,0
2018-10-07 23:19:00,6584.07000000,6588.54000000,6584.07000000,6584.51000000,1.41848200,1538954399999,9342.19095822,23,0.65804200,4335.15535173,0
2018-10-07 23:20:00,6588.49000000,6588.49000000,6584.32000000,6585.00000000,10.74273400,1538954459999,70744.65717641,61,2.56045900,16866.93589457,0
2018-10-07 23:21:00,6584.27000000,6586.09000000,6584.27000000,6585.01000000,0.76558500,1538954519999,5041.47886159,21,0.10000000,658.60900000,0
2018-10-07 23:22:00,6586.00000000,6586.10000000,6585.01000000,6586.00000000,1.04038700,1538954579999,6851.98655289,14,0.01788400,117.78404120,0
2018-10-07 23:23:00,6586.00000000,6590.98000000,6586.00000000,6587.39000000,30.02250300,1538954639999,197836.68537508,56,26.51688300,174744.94169698,0
2018-10-07 23:24:00,6590.97000000,6593.02000000,6590.97000000,6590.99000000,7.28122000,1538954699999,47994.67672720,65,2.92549300,19284.56387522,0
2018-10-07 23:25:00,6590.99000000,6593.07000000,6590.97000000,6593.07000000,14.15627900,1538954759999,93324.08551486,78,7.01653900,46257.62108434,0
2018-10-07 23:26:00,6593.53000000,6594.56000000,6591.00000000,6591.01000000,12.09396400,1538954819999,79740.04191576,88,4.90833100,32365.02019730,0
2018-10-07 23:27:00,6591.01000000,6595.00000000,6591.00000000,6591.21000000,5.49923700,1538954879999,36260.68260772,52,4.42790900,29199.48264562,0
2018-10-07 23:28:00,6594.96000000,6595.00000000,6591.23000000,6595.00000000,5.70410600,1538954939999,37617.78057751,31,5.49747400,36255.78255320,0
2018-10-07 23:29:00,6595.00000000,6595.10000000,6591.51000000,6593.08000000,5.91493200,1538954999999,39007.06907220,68,4.00791200,26432.15624233,0
2018-10-07 23:30:00,6593.08000000,6617.00000000,6592.02000000,6612.18000000,206.88693000,1538955059999,1366952.41446204,802,179.88815700,1188647.85300127,0
2018-10-07 23:31:00,6614.99000000,6629.03000000,6612.17000000,6622.40000000,188.91685500,1538955119999,1250956.86100087,668,152.32283900,1008642.89345571,0
2018-10-07 23:32:00,6622.40000000,6629.99000000,6622.39000000,6629.98000000,60.21065000,1538955179999,399025.15700164,272,51.49150100,341250.37187040,0
2018-10-07 23:33:00,6627.54000000,6632.51000000,6627.20000000,6632.51000000,62.05650300,1538955239999,411475.07839057,361,44.89707400,297687.66577818,0
2018-10-07 23:34:00,6632.57000000,6635.00000000,6632.30000000,6634.00000000,25.23663400,1538955299999,167422.42534740,169,16.19107400,107421.83547709,0
2018-10-07 23:35:00,6632.83000000,6640.00000000,6632.30000000,6632.31000000,55.60181700,1538955359999,368961.60702327,207,34.06488300,226118.65816585,0
2018-10-07 23:36:00,6634.00000000,6636.52000000,6632.31000000,6636.52000000,10.67305300,1538955419999,70799.86925952,98,5.43146400,36034.65097869,0
2018-10-07 23:37:00,6636.52000000,6639.00000000,6633.28000000,6635.07000000,30.90430800,1538955479999,205080.17073253,165,22.85135200,151635.21173639,0
2018-10-07 23:38:00,6635.07000000,6635.07000000,6625.64000000,6626.02000000,34.58383900,1538955539999,229307.00555891,117,15.90841300,105480.64034976,0
2018-10-07 23:39:00,6625.85000000,6634.18000000,6625.67000000,6634.18000000,35.90477700,1538955599999,238079.93518846,165,24.75249400,164134.62281213,0
2018-10-07 23:40:00,6634.00000000,6634.21000000,6621.93000000,6621.93000000,70.43316900,1538955659999,466907.20137677,131,12.24996200,81179.86133944,0
2018-10-07 23:41:00,6623.35000000,6623.88000000,6614.31000000,6620.94000000,52.49249000,1538955719999,347438.32049586,232,26.59599500,176060.15373424,0
2018-10-07 23:42:00,6620.94000000,6626.73000000,6618.64000000,6625.00000000,10.16349200,1538955779999,67316.97910582,51,6.40704500,42445.18785825,0
2018-10-07 23:43:00,6625.00000000,6625.00000000,6617.84000000,6617.84000000,3.72368400,1538955839999,24654.47773867,43,0.95464800,6322.98296602,0
2018-10-07 23:44:00,6621.60000000,6621.60000000,6617.79000000,6618.04000000,5.55794300,1538955899999,36797.32567379,54,4.33479800,28702.08216901,0
2018-10-07 23:45:00,6621.00000000,6621.69000000,6618.96000000,6621.69000000,5.38054300,1538955959999,35624.13882984,50,2.20759200,14617.38061690,0
2018-10-07 23:46:00,6621.69000000,6623.28000000,6620.02000000,6620.03000000,14.51712800,1538956019999,96140.22892947,48,8.69447900,57578.01720335,0
2018-10-07 23:47:00,6621.00000000,6621.00000000,6613.00000000,6614.00000000,16.03253200,1538956079999,106077.97374555,69,2.71803200,17987.53901974,0
2018-10-07 23:48:00,6614.00000000,6617.69000000,6598.56000000,6601.71000000,62.88224900,1538956139999,415302.43907839,289,33.91870500,223968.01373147,0
2018-10-07 23:49:00,6601.71000000,6604.90000000,6598.10000000,6603.74000000,20.80255700,1538956199999,137320.53565773,106,5.38863400,35577.84160282,0
2018-10-07 23:50:00,6603.15000000,6606.54000000,6599.98000000,6601.88000000,14.04969400,1538956259999,92776.62546471,65,6.76608800,44683.67446554,0
2018-10-07 23:51:00,6601.88000000,6602.36000000,6597.12000000,6598.41000000,21.01995100,1538956319999,138749.13799458,77,11.12050300,73408.36139309,0
